"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Mon Jul 22 00:47:06 YEKT 2024","Mon Jul 22 00:47:06 YEKT 2024","0","","","","","","Проверка клика на заказ","Если кликнуть на заказ, откроется всплывающее окно с деталями"
"passed","Mon Jul 22 00:50:26 YEKT 2024","Mon Jul 22 00:50:28 YEKT 2024","2675","tests","test_order_feed","TestOrderFeed","","","Проверка счётчика Выполнено за всё время","При создании нового заказа счётчик Выполнено за всё время увеличивается"
"passed","Mon Jul 22 00:50:54 YEKT 2024","Mon Jul 22 00:51:01 YEKT 2024","7303","tests","test_order_feed","TestOrderFeed","","","Проверка счётчика Выполнено за сегодня","При создании нового заказа счётчик Выполнено за сегодня увеличивается"
"passed","Mon Jul 22 00:48:00 YEKT 2024","Mon Jul 22 00:48:01 YEKT 2024","863","tests","test_create_order","TestCreateOrder","","","Проверка клика на ингредиент","Если кликнуть на ингредиент, появится всплывающее окно с деталями"
"passed","Mon Jul 22 00:47:39 YEKT 2024","Mon Jul 22 00:47:39 YEKT 2024","754","tests","test_create_order","TestCreateOrder","","","Проверка перехода по клику на Лента заказов","При нажатии на кнопку ленты заказов будет выполнен переход на страницу"
"passed","Mon Jul 22 00:47:25 YEKT 2024","Mon Jul 22 00:47:25 YEKT 2024","219","tests","test_create_order","TestCreateOrder","","","Проверка перехода по клику на Конструктор","При нажатии на кнопку конструктора будет выполнен переход на страницу"
"passed","Mon Jul 22 00:52:02 YEKT 2024","Mon Jul 22 00:52:09 YEKT 2024","6249","tests","test_password_recover","TestPasswordRecover","","","Проверка кнопки Восстановить пароль","Переход на страницу восстановления пароля по кнопке Восстановить пароль"
"passed","Mon Jul 22 00:53:19 YEKT 2024","Mon Jul 22 00:53:26 YEKT 2024","6844","tests","test_personal_account","TestPersonalAccount","","","Проверка кнопки История заказов","переход в раздел История заказов"
"passed","Mon Jul 22 00:52:35 YEKT 2024","Mon Jul 22 00:52:38 YEKT 2024","2907","tests","test_password_recover","TestPasswordRecover","","","Проверка поля Восстановить","Клик по кнопке показать/скрыть пароль делает поле активным — подсвечивает его"
"passed","Mon Jul 22 00:51:54 YEKT 2024","Mon Jul 22 00:52:00 YEKT 2024","6057","tests","test_password_recover","TestPasswordRecover","","","Проверка кнопки Восстановить пароль","Переход на страницу восстановления пароля по кнопке Восстановить пароль"
"passed","Mon Jul 22 00:48:45 YEKT 2024","Mon Jul 22 00:48:48 YEKT 2024","3335","tests","test_create_order","TestCreateOrder","","","Проверка создания заказа пользователем","Залогиненный пользователь может оформить заказ"
"passed","Mon Jul 22 00:52:10 YEKT 2024","Mon Jul 22 00:52:16 YEKT 2024","6063","tests","test_password_recover","TestPasswordRecover","","","Проверка поля Восстановить","Ввод почты и клик по кнопке Восстановить"
"passed","Mon Jul 22 00:53:39 YEKT 2024","Mon Jul 22 00:53:41 YEKT 2024","1287","tests","test_personal_account","TestPersonalAccount","","","Проверка кнопки Выход из аккаунта","Выход из аккаунта"
"passed","Mon Jul 22 00:52:46 YEKT 2024","Mon Jul 22 00:52:46 YEKT 2024","553","tests","test_personal_account","TestPersonalAccount","","","Проверка кнопки Личный кабинет","переход по клику на Личный кабинет"
"passed","Mon Jul 22 00:48:09 YEKT 2024","Mon Jul 22 00:48:10 YEKT 2024","1321","tests","test_create_order","TestCreateOrder","","","Проверка всплывающее окно","Всплывающее окно закрывается кликом по крестику"
"passed","Mon Jul 22 00:49:40 YEKT 2024","Mon Jul 22 00:49:51 YEKT 2024","11085","tests","test_order_feed","TestOrderFeed","","","Проверка заказов пользователя","Заказы пользователя из раздела История заказов отображаются на странице Лента заказов"
"failed","Mon Jul 22 00:51:26 YEKT 2024","Mon Jul 22 00:51:26 YEKT 2024","751","tests","test_order_feed","TestOrderFeed","","","Проверка раздела В работе","После оформления заказа его номер появляется в разделе В работе"
"passed","Mon Jul 22 00:47:54 YEKT 2024","Mon Jul 22 00:47:55 YEKT 2024","770","tests","test_create_order","TestCreateOrder","","","Проверка клика на ингредиент","Если кликнуть на ингредиент, появится всплывающее окно с деталями"
"passed","Mon Jul 22 00:48:16 YEKT 2024","Mon Jul 22 00:48:17 YEKT 2024","1355","tests","test_create_order","TestCreateOrder","","","Проверка всплывающее окно","Всплывающее окно закрывается кликом по крестику"
"passed","Mon Jul 22 00:52:55 YEKT 2024","Mon Jul 22 00:52:56 YEKT 2024","551","tests","test_personal_account","TestPersonalAccount","","","Проверка кнопки Личный кабинет","переход по клику на Личный кабинет"
"passed","Mon Jul 22 00:52:18 YEKT 2024","Mon Jul 22 00:52:25 YEKT 2024","6515","tests","test_password_recover","TestPasswordRecover","","","Проверка поля Восстановить","Ввод почты и клик по кнопке Восстановить"
"failed","Mon Jul 22 00:48:36 YEKT 2024","Mon Jul 22 00:48:37 YEKT 2024","1384","tests","test_create_order","TestCreateOrder","","","Проверка добавления ингредиента в заказ","При добавлении ингредиента в заказ, увеличивается каунтер данного ингредиента"
"passed","Mon Jul 22 00:48:57 YEKT 2024","Mon Jul 22 00:48:59 YEKT 2024","1372","tests","test_create_order","TestCreateOrder","","","Проверка создания заказа пользователем","Залогиненный пользователь может оформить заказ"
"passed","Mon Jul 22 00:49:11 YEKT 2024","Mon Jul 22 00:49:11 YEKT 2024","787","tests","test_order_feed","TestOrderFeed","","","Проверка клика на заказ","Если кликнуть на заказ, откроется всплывающее окно с деталями"
"passed","Mon Jul 22 00:53:34 YEKT 2024","Mon Jul 22 00:53:35 YEKT 2024","1251","tests","test_personal_account","TestPersonalAccount","","","Проверка кнопки Выход из аккаунта","Выход из аккаунта"
"failed","Mon Jul 22 00:50:38 YEKT 2024","Mon Jul 22 00:50:46 YEKT 2024","8302","tests","test_order_feed","TestOrderFeed","","","Проверка счётчика Выполнено за всё время","При создании нового заказа счётчик Выполнено за всё время увеличивается"
"passed","Mon Jul 22 00:49:27 YEKT 2024","Mon Jul 22 00:49:29 YEKT 2024","1414","tests","test_order_feed","TestOrderFeed","","","Проверка клика на заказ","Если кликнуть на заказ, откроется всплывающее окно с деталями"
"passed","Mon Jul 22 00:52:26 YEKT 2024","Mon Jul 22 00:52:33 YEKT 2024","7129","tests","test_password_recover","TestPasswordRecover","","","Проверка поля Восстановить","Клик по кнопке показать/скрыть пароль делает поле активным — подсвечивает его"
"failed","Mon Jul 22 00:51:11 YEKT 2024","Mon Jul 22 00:51:19 YEKT 2024","8322","tests","test_order_feed","TestOrderFeed","","","Проверка счётчика Выполнено за сегодня","При создании нового заказа счётчик Выполнено за сегодня увеличивается"
"passed","Mon Jul 22 00:53:04 YEKT 2024","Mon Jul 22 00:53:14 YEKT 2024","10429","tests","test_personal_account","TestPersonalAccount","","","Проверка кнопки История заказов","переход в раздел История заказов"
"passed","Mon Jul 22 00:47:30 YEKT 2024","Mon Jul 22 00:47:30 YEKT 2024","313","tests","test_create_order","TestCreateOrder","","","Проверка перехода по клику на Конструктор","При нажатии на кнопку конструктора будет выполнен переход на страницу"
"passed","Mon Jul 22 00:47:49 YEKT 2024","Mon Jul 22 00:47:50 YEKT 2024","1368","tests","test_create_order","TestCreateOrder","","","Проверка перехода по клику на Лента заказов","При нажатии на кнопку ленты заказов будет выполнен переход на страницу"
"passed","Mon Jul 22 00:48:25 YEKT 2024","Mon Jul 22 00:48:26 YEKT 2024","1305","tests","test_create_order","TestCreateOrder","","","Проверка добавления ингредиента в заказ","При добавлении ингредиента в заказ, увеличивается каунтер данного ингредиента"
"failed","Mon Jul 22 00:51:47 YEKT 2024","Mon Jul 22 00:51:53 YEKT 2024","5894","tests","test_order_feed","TestOrderFeed","","","Проверка раздела В работе","После оформления заказа его номер появляется в разделе В работе"
"broken","Mon Jul 22 00:50:12 YEKT 2024","Mon Jul 22 00:50:18 YEKT 2024","5872","tests","test_order_feed","TestOrderFeed","","","Проверка заказов пользователя","Заказы пользователя из раздела История заказов отображаются на странице Лента заказов"
